GeneIdOld,GeneIdOldShort,GeneIdNew
p3_t120017_Ust_horde_v2@UHOR_02527@5513,UHOR_02527,Usho_5513
p3_t120017_Ust_horde_v2@UHOR_02529@5514,UHOR_02529,Usho_5514
p3_t120017_Ust_horde_v2@UHOR_02530@5515,UHOR_02530,Usho_5515
p3_t120017_Ust_horde_v2@UHOR_02531@5516,UHOR_02531,Usho_5516
p3_t120017_Ust_horde_v2@UHOR_02533@5517,UHOR_02533,Usho_5517
p3_t120017_Ust_horde_v2@UHOR_02534@5518,UHOR_02534,Usho_5518
p3_t120017_Ust_horde_v2@UHOR_02535@5519,UHOR_02535,Usho_5519
p3_t120017_Ust_horde_v2@UHOR_02537@5520,UHOR_02537,Usho_5520
p3_t120017_Ust_horde_v2@UHOR_02538@5521,UHOR_02538,Usho_5521
p3_t120017_Ust_horde_v2@UHOR_02540@5522,UHOR_02540,Usho_5522
p3_t120017_Ust_horde_v2@UHOR_02542@5523,UHOR_02542,Usho_5523
p3_t120017_Ust_horde_v2@UHOR_15969@5524,UHOR_15969,Usho_5524
p3_t120017_Ust_horde_v2@UHOR_15968@5525,UHOR_15968,Usho_5525
p3_t120017_Ust_horde_v2@UHOR_15967@5526,UHOR_15967,Usho_5526
p3_t120017_Ust_horde_v2@UHOR_02545@5527,UHOR_02545,Usho_5527
p3_t120017_Ust_horde_v2@UHOR_02546@5528,UHOR_02546,Usho_5528
p3_t120017_Ust_horde_v2@UHOR_02549@5529,UHOR_02549,Usho_5529
p3_t120017_Ust_horde_v2@UHOR_02550@5530,UHOR_02550,Usho_5530
p3_t120017_Ust_horde_v2@UHOR_02551@5531,UHOR_02551,Usho_5531
p3_t120017_Ust_horde_v2@UHOR_02552@5532,UHOR_02552,Usho_5532
p3_t120017_Ust_horde_v2@UHOR_02553@5533,UHOR_02553,Usho_5533
p3_t120017_Ust_horde_v2@UHOR_02555@5534,UHOR_02555,Usho_5534
p3_t120017_Ust_horde_v2@UHOR_02557@5535,UHOR_02557,Usho_5535
p3_t120017_Ust_horde_v2@UHOR_02559@5536,UHOR_02559,Usho_5536
p3_t120017_Ust_horde_v2@UHOR_02561@5537,UHOR_02561,Usho_5537
p3_t120017_Ust_horde_v2@UHOR_02562@5538,UHOR_02562,Usho_5538
p3_t120017_Ust_horde_v2@UHOR_02565@5539,UHOR_02565,Usho_5539
p3_t120017_Ust_horde_v2@UHOR_02566@5540,UHOR_02566,Usho_5540
p3_t120017_Ust_horde_v2@UHOR_02568@5541,UHOR_02568,Usho_5541
p3_t120017_Ust_horde_v2@UHOR_02569@5542,UHOR_02569,Usho_5542
p3_t120017_Ust_horde_v2@UHOR_02570@5543,UHOR_02570,Usho_5543
p3_t120017_Ust_horde_v2@UHOR_02571@5544,UHOR_02571,Usho_5544
p3_t120017_Ust_horde_v2@UHOR_02573@5545,UHOR_02573,Usho_5545
p3_t120017_Ust_horde_v2@UHOR_02574@5546,UHOR_02574,Usho_5546
p3_t120017_Ust_horde_v2@UHOR_02575@5547,UHOR_02575,Usho_5547
p3_t120017_Ust_horde_v2@UHOR_02577@5548,UHOR_02577,Usho_5548
p3_t120017_Ust_horde_v2@UHOR_02578@5549,UHOR_02578,Usho_5549
p3_t120017_Ust_horde_v2@UHOR_02579@5550,UHOR_02579,Usho_5550
p3_t120017_Ust_horde_v2@UHOR_02580@5551,UHOR_02580,Usho_5551
p3_t120017_Ust_horde_v2@UHOR_02581@5552,UHOR_02581,Usho_5552
p3_t120017_Ust_horde_v2@UHOR_02583@5553,UHOR_02583,Usho_5553
p3_t120017_Ust_horde_v2@UHOR_02584@5554,UHOR_02584,Usho_5554
p3_t120017_Ust_horde_v2@UHOR_02585@5555,UHOR_02585,Usho_5555
p3_t120017_Ust_horde_v2@UHOR_02586@5556,UHOR_02586,Usho_5556
p3_t120017_Ust_horde_v2@UHOR_02588@5557,UHOR_02588,Usho_5557
p3_t120017_Ust_horde_v2@UHOR_02589@5558,UHOR_02589,Usho_5558
p3_t120017_Ust_horde_v2@UHOR_02590@5559,UHOR_02590,Usho_5559
p3_t120017_Ust_horde_v2@UHOR_02591@5560,UHOR_02591,Usho_5560
p3_t120017_Ust_horde_v2@UHOR_02592@5561,UHOR_02592,Usho_5561
p3_t120017_Ust_horde_v2@UHOR_02593@5562,UHOR_02593,Usho_5562
p3_t120017_Ust_horde_v2@UHOR_02595@5563,UHOR_02595,Usho_5563
p3_t120017_Ust_horde_v2@UHOR_02597@5564,UHOR_02597,Usho_5564
p3_t120017_Ust_horde_v2@UHOR_02598@5565,UHOR_02598,Usho_5565
p3_t120017_Ust_horde_v2@UHOR_02600@5566,UHOR_02600,Usho_5566
p3_t120017_Ust_horde_v2@UHOR_02601@5567,UHOR_02601,Usho_5567
p3_t120017_Ust_horde_v2@UHOR_02603@5568,UHOR_02603,Usho_5568
p3_t120017_Ust_horde_v2@UHOR_02604@5569,UHOR_02604,Usho_5569
p3_t120017_Ust_horde_v2@UHOR_02605@5570,UHOR_02605,Usho_5570
p3_t120017_Ust_horde_v2@UHOR_02607@5571,UHOR_02607,Usho_5571
p3_t120017_Ust_horde_v2@UHOR_02609@5572,UHOR_02609,Usho_5572
p3_t120017_Ust_horde_v2@UHOR_02615@5573,UHOR_02615,Usho_5573
p3_t120017_Ust_horde_v2@UHOR_02614@5574,UHOR_02614,Usho_5574
p3_t120017_Ust_horde_v2@UHOR_02613@5575,UHOR_02613,Usho_5575
p3_t120017_Ust_horde_v2@UHOR_02612@5576,UHOR_02612,Usho_5576
p3_t120017_Ust_horde_v2@UHOR_02292@5577,UHOR_02292,Usho_5577
p3_t120017_Ust_horde_v2@UHOR_02293@5578,UHOR_02293,Usho_5578
p3_t120017_Ust_horde_v2@UHOR_02295@5579,UHOR_02295,Usho_5579
p3_t120017_Ust_horde_v2@UHOR_02297@5580,UHOR_02297,Usho_5580
p3_t120017_Ust_horde_v2@UHOR_02298@5581,UHOR_02298,Usho_5581
p3_t120017_Ust_horde_v2@UHOR_02299@5582,UHOR_02299,Usho_5582
