Species,Gene
Sprz,p3_t72740_Spo_reili_v2@sr17100@6660
Sprz,p3_t72740_Spo_reili_v2@sr17101@6661
Sprz,p3_t72740_Spo_reili_v2@sr17102@6662
Sprz,p3_t72740_Spo_reili_v2@sr17103@6663
Sprz,p3_t72740_Spo_reili_v2@sr17105@6665
Sprs,srs_15178
Sprs,srs_15966
Sprs,srs_13050
Sprs,srs_10541
Sprs,srs_13364
Sprs,srs_10807
Sprs,srs_16123
Sprs,srs_15615
Sprs,srs_11246
Sprs,srs_15391
Sprs,srs_16682
Sprs,srs_06400
Sprs,srs_11528
Sprs,srs_11705
Sprs,srs_13520
Sprs,srs_13705
Sprs,srs_12336
Sprs,srs_12339
Sprs,srs_16775
Sprs,srs_11298
