GeneIdOld,GeneIdOldShort,GeneIdNew
p3_t307758_Ust_bromi_v3@UBRO_01157@80851,UBRO_01157,Usbr_0071
p3_t307758_Ust_bromi_v3@UBRO_01156@53465,UBRO_01156,Usbr_0072
p3_t307758_Ust_bromi_v3@UBRO_01154@53464,UBRO_01154,Usbr_0073
p3_t307758_Ust_bromi_v3@UBRO_01153@53463,UBRO_01153,Usbr_0074
p3_t307758_Ust_bromi_v3@UBRO_20404@80852,UBRO_20404,Usbr_0075
p3_t307758_Ust_bromi_v3@UBRO_01151@53462,UBRO_01151,Usbr_0076
p3_t307758_Ust_bromi_v3@UBRO_01150@53680,UBRO_01150,Usbr_0077
p3_t307758_Ust_bromi_v3@UBRO_20405@80853,UBRO_20405,Usbr_0078
p3_t307758_Ust_bromi_v3@UBRO_01148@53679,UBRO_01148,Usbr_0079
p3_t307758_Ust_bromi_v3@UBRO_01146@53678,UBRO_01146,Usbr_0080
p3_t307758_Ust_bromi_v3@UBRO_01145@80854,UBRO_01145,Usbr_0081
p3_t307758_Ust_bromi_v3@UBRO_01144@80855,UBRO_01144,Usbr_0082
p3_t307758_Ust_bromi_v3@UBRO_01143@53676,UBRO_01143,Usbr_0083
p3_t307758_Ust_bromi_v3@UBRO_01142@53675,UBRO_01142,Usbr_0084
p3_t307758_Ust_bromi_v3@UBRO_01141@53674,UBRO_01141,Usbr_0085
p3_t307758_Ust_bromi_v3@UBRO_01140@53673,UBRO_01140,Usbr_0086
p3_t307758_Ust_bromi_v3@UBRO_01139@53672,UBRO_01139,Usbr_0087
p3_t307758_Ust_bromi_v3@UBRO_01137@53671,UBRO_01137,Usbr_0088
p3_t307758_Ust_bromi_v3@UBRO_01136@53670,UBRO_01136,Usbr_0089
p3_t307758_Ust_bromi_v3@UBRO_01135@53669,UBRO_01135,Usbr_0090
p3_t307758_Ust_bromi_v3@UBRO_20051@53681,UBRO_20051,Usbr_0091
p3_t307758_Ust_bromi_v3@UBRO_01134@53668,UBRO_01134,Usbr_0092
p3_t307758_Ust_bromi_v3@UBRO_01131@80856,UBRO_01131,Usbr_0093
p3_t307758_Ust_bromi_v3@UBRO_01130@53666,UBRO_01130,Usbr_0094
p3_t307758_Ust_bromi_v3@UBRO_01129@80857,UBRO_01129,Usbr_0095
p3_t307758_Ust_bromi_v3@UBRO_01127@53664,UBRO_01127,Usbr_0096
p3_t307758_Ust_bromi_v3@UBRO_01125@53663,UBRO_01125,Usbr_0097
p3_t307758_Ust_bromi_v3@UBRO_01124@80858,UBRO_01124,Usbr_0098
p3_t307758_Ust_bromi_v3@UBRO_01122@53661,UBRO_01122,Usbr_0099
p3_t307758_Ust_bromi_v3@UBRO_01120@80859,UBRO_01120,Usbr_0100
p3_t307758_Ust_bromi_v3@UBRO_01119@53659,UBRO_01119,Usbr_0101
p3_t307758_Ust_bromi_v3@UBRO_01118@53658,UBRO_01118,Usbr_0102
p3_t307758_Ust_bromi_v3@UBRO_01117@53657,UBRO_01117,Usbr_0103
p3_t307758_Ust_bromi_v3@UBRO_01114@80860,UBRO_01114,Usbr_0104
p3_t307758_Ust_bromi_v3@UBRO_01112@53655,UBRO_01112,Usbr_0105
p3_t307758_Ust_bromi_v3@UBRO_01111@53654,UBRO_01111,Usbr_0106
p3_t307758_Ust_bromi_v3@UBRO_01110@53653,UBRO_01110,Usbr_0107
p3_t307758_Ust_bromi_v3@UBRO_01109@53652,UBRO_01109,Usbr_0108
p3_t307758_Ust_bromi_v3@UBRO_01108@53651,UBRO_01108,Usbr_0109
p3_t307758_Ust_bromi_v3@UBRO_01105@53650,UBRO_01105,Usbr_0110
p3_t307758_Ust_bromi_v3@UBRO_01104@53649,UBRO_01104,Usbr_0111
p3_t307758_Ust_bromi_v3@UBRO_01102@53648,UBRO_01102,Usbr_0112
p3_t307758_Ust_bromi_v3@UBRO_01101@53647,UBRO_01101,Usbr_0113
p3_t307758_Ust_bromi_v3@UBRO_01098@80861,UBRO_01098,Usbr_0114
p3_t307758_Ust_bromi_v3@UBRO_01099@53646,UBRO_01099,Usbr_0115
p3_t307758_Ust_bromi_v3@UBRO_01097@80862,UBRO_01097,Usbr_0116
p3_t307758_Ust_bromi_v3@UBRO_01096@53644,UBRO_01096,Usbr_0117
p3_t307758_Ust_bromi_v3@UBRO_01095@53643,UBRO_01095,Usbr_0118
p3_t307758_Ust_bromi_v3@UBRO_01094@53496,UBRO_01094,Usbr_0119
p3_t307758_Ust_bromi_v3@UBRO_01093@53495,UBRO_01093,Usbr_0120
p3_t307758_Ust_bromi_v3@UBRO_01092@53494,UBRO_01092,Usbr_0121
p3_t307758_Ust_bromi_v3@UBRO_01091@53493,UBRO_01091,Usbr_0122
p3_t307758_Ust_bromi_v3@UBRO_01090@53492,UBRO_01090,Usbr_0123
p3_t307758_Ust_bromi_v3@UBRO_01089@80863,UBRO_01089,Usbr_0124
p3_t307758_Ust_bromi_v3@UBRO_01088@53491,UBRO_01088,Usbr_0125
p3_t307758_Ust_bromi_v3@UBRO_20406@80864,UBRO_20406,Usbr_0126
p3_t307758_Ust_bromi_v3@UBRO_01087@53490,UBRO_01087,Usbr_0127
p3_t307758_Ust_bromi_v3@UBRO_01086@53489,UBRO_01086,Usbr_0128
p3_t307758_Ust_bromi_v3@UBRO_01085@53488,UBRO_01085,Usbr_0129
p3_t307758_Ust_bromi_v3@UBRO_01083@53627,UBRO_01083,Usbr_0130
p3_t307758_Ust_bromi_v3@UBRO_01081@80865,UBRO_01081,Usbr_0131
p3_t307758_Ust_bromi_v3@UBRO_01080@80866,UBRO_01080,Usbr_0132
p3_t307758_Ust_bromi_v3@UBRO_01078@53625,UBRO_01078,Usbr_0133
p3_t307758_Ust_bromi_v3@UBRO_01077@80867,UBRO_01077,Usbr_0134
p3_t307758_Ust_bromi_v3@UBRO_01076@53623,UBRO_01076,Usbr_0135
p3_t307758_Ust_bromi_v3@UBRO_20221@53642,UBRO_20221,Usbr_0136
p3_t307758_Ust_bromi_v3@UBRO_20220@53641,UBRO_20220,Usbr_0137
p3_t307758_Ust_bromi_v3@UBRO_20219@53640,UBRO_20219,Usbr_0138
p3_t307758_Ust_bromi_v3@UBRO_01074@80868,UBRO_01074,Usbr_0139
p3_t307758_Ust_bromi_v3@UBRO_20407@80869,UBRO_20407,Usbr_0140
p3_t307758_Ust_bromi_v3@UBRO_01069@53622,UBRO_01069,Usbr_0141
p3_t307758_Ust_bromi_v3@UBRO_01068@80870,UBRO_01068,Usbr_0142
p3_t307758_Ust_bromi_v3@UBRO_20408@80871,UBRO_20408,Usbr_0143
p3_t307758_Ust_bromi_v3@UBRO_01067@53621,UBRO_01067,Usbr_0144
p3_t307758_Ust_bromi_v3@UBRO_01065@53620,UBRO_01065,Usbr_0145
p3_t307758_Ust_bromi_v3@UBRO_01064@53619,UBRO_01064,Usbr_0146
p3_t307758_Ust_bromi_v3@UBRO_01062@53618,UBRO_01062,Usbr_0147
p3_t307758_Ust_bromi_v3@UBRO_01061@53617,UBRO_01061,Usbr_0148
p3_t307758_Ust_bromi_v3@UBRO_01060@53616,UBRO_01060,Usbr_0149
p3_t307758_Ust_bromi_v3@UBRO_01059@53615,UBRO_01059,Usbr_0150
p3_t307758_Ust_bromi_v3@UBRO_01057@53614,UBRO_01057,Usbr_0151
p3_t307758_Ust_bromi_v3@UBRO_01055@53613,UBRO_01055,Usbr_0152
p3_t307758_Ust_bromi_v3@UBRO_01054@53612,UBRO_01054,Usbr_0153
p3_t307758_Ust_bromi_v3@UBRO_01052@53611,UBRO_01052,Usbr_0154
p3_t307758_Ust_bromi_v3@UBRO_01051@53610,UBRO_01051,Usbr_0155
p3_t307758_Ust_bromi_v3@UBRO_01050@53609,UBRO_01050,Usbr_0156
p3_t307758_Ust_bromi_v3@UBRO_01048@53608,UBRO_01048,Usbr_0157
p3_t307758_Ust_bromi_v3@UBRO_01047@53607,UBRO_01047,Usbr_0158
p3_t307758_Ust_bromi_v3@UBRO_01045@53606,UBRO_01045,Usbr_0159
p3_t307758_Ust_bromi_v3@UBRO_01044@53605,UBRO_01044,Usbr_0160
p3_t307758_Ust_bromi_v3@UBRO_01043@53604,UBRO_01043,Usbr_0161
p3_t307758_Ust_bromi_v3@UBRO_01042@53603,UBRO_01042,Usbr_0162
p3_t307758_Ust_bromi_v3@UBRO_01041@53602,UBRO_01041,Usbr_0163
p3_t307758_Ust_bromi_v3@UBRO_01040@53601,UBRO_01040,Usbr_0164
p3_t307758_Ust_bromi_v3@UBRO_01039@53600,UBRO_01039,Usbr_0165
p3_t307758_Ust_bromi_v3@UBRO_01038@53599,UBRO_01038,Usbr_0166
p3_t307758_Ust_bromi_v3@UBRO_01036@53598,UBRO_01036,Usbr_0167
p3_t307758_Ust_bromi_v3@UBRO_01034@53597,UBRO_01034,Usbr_0168
p3_t307758_Ust_bromi_v3@UBRO_01033@53596,UBRO_01033,Usbr_0169
p3_t307758_Ust_bromi_v3@UBRO_01031@53595,UBRO_01031,Usbr_0170
p3_t307758_Ust_bromi_v3@UBRO_01030@53594,UBRO_01030,Usbr_0171
p3_t307758_Ust_bromi_v3@UBRO_01029@53593,UBRO_01029,Usbr_0172
p3_t307758_Ust_bromi_v3@UBRO_01027@53592,UBRO_01027,Usbr_0173
p3_t307758_Ust_bromi_v3@UBRO_01026@53591,UBRO_01026,Usbr_0174
p3_t307758_Ust_bromi_v3@UBRO_20218@53639,UBRO_20218,Usbr_0175
p3_t307758_Ust_bromi_v3@UBRO_20217@53638,UBRO_20217,Usbr_0176
p3_t307758_Ust_bromi_v3@UBRO_01025@53590,UBRO_01025,Usbr_0177
p3_t307758_Ust_bromi_v3@UBRO_01023@53583,UBRO_01023,Usbr_0178
p3_t307758_Ust_bromi_v3@UBRO_01021@53582,UBRO_01021,Usbr_0179
p3_t307758_Ust_bromi_v3@UBRO_20216@53637,UBRO_20216,Usbr_0180
p3_t307758_Ust_bromi_v3@UBRO_01018@53581,UBRO_01018,Usbr_0181
